0.008 0.137 0.052 0.600   -1.0
0.387 0.991 0.612 0.802   1.0
0.733 0.582 0.857 0.578   1.0
0.574 0.917 0.907 0.829   1.0
0.187 0.182 0.882 0.324   -1.0
0.106 0.507 0.554 0.275   1.0
0.247 0.283 0.097 0.299   -1.0
0.136 0.686 0.874 0.749   1.0
0.919 0.481 0.070 0.776   1.0
0.317 0.350 0.976 0.224   -1.0
0.550 0.410 0.362 0.432   -1.0
0.581 0.538 0.242 0.135   -1.0
0.203 0.383 0.096 0.300   -1.0
0.979 0.436 0.368 0.853   1.0
0.855 0.772 0.666 0.925   1.0
0.725 0.242 0.898 0.702   1.0
0.078 0.251 0.876 0.440   -1.0
0.610 0.020 0.221 0.852   -1.0
0.034 0.055 0.538 0.130   -1.0
0.220 0.109 0.791 0.588   1.0
0.976 0.443 0.734 0.642   1.0
0.282 0.368 0.610 0.180   -1.0
0.075 0.257 0.320 0.951   -1.0
0.004 0.561 0.717 0.225   -1.0
0.873 0.259 0.468 0.412   1.0
0.823 0.632 0.497 0.613   1.0
0.459 0.589 0.663 0.193   -1.0
0.032 0.474 0.599 0.642   -1.0
0.668 0.717 0.911 0.989   1.0
0.608 0.992 0.229 0.325   1.0
0.642 0.199 0.476 0.110   -1.0
0.864 0.932 0.242 0.361   1.0
0.462 0.820 0.135 0.126   -1.0
0.367 0.157 0.487 0.966   -1.0
0.141 0.634 0.516 0.052   -1.0
0.184 0.660 0.615 0.413   1.0
0.832 0.055 0.184 0.307   -1.0
0.795 0.171 0.097 0.037   -1.0
0.643 0.499 0.353 0.779   1.0
0.365 0.145 0.782 0.852   1.0
0.581 0.993 0.745 0.097   1.0
0.367 0.281 0.705 0.982   1.0
0.691 0.813 0.749 0.875   1.0
0.914 0.670 0.292 0.012   -1.0
0.825 0.655 0.206 0.177   -1.0
0.831 0.543 0.579 0.613   1.0
0.690 0.194 0.387 0.435   -1.0
0.432 0.802 0.573 0.137   -1.0
0.267 0.828 0.598 0.017   -1.0
0.719 0.931 0.373 0.011   1.0
0.079 0.836 0.598 0.285   -1.0
0.032 0.116 0.556 0.611   -1.0
0.951 0.302 0.923 0.338   1.0
0.214 0.770 0.539 0.787   1.0
0.324 0.054 0.735 0.921   1.0
0.438 0.640 0.002 0.811   -1.0
0.945 0.891 0.486 0.543   1.0
0.500 0.574 0.292 0.056   -1.0
0.021 0.006 0.487 0.943   -1.0
0.224 0.157 0.114 0.763   -1.0
0.022 0.087 0.998 0.757   -1.0
0.069 0.195 0.648 0.071   -1.0
0.299 0.016 0.897 0.785   -1.0
0.073 0.285 0.133 0.365   -1.0
0.318 0.386 0.347 0.805   -1.0
0.691 0.029 0.486 0.805   1.0
0.430 0.827 0.880 0.428   1.0
0.888 0.498 0.779 0.537   1.0
0.786 0.835 0.584 0.683   1.0
0.142 0.756 0.906 0.275   1.0
0.246 0.593 0.507 0.593   -1.0
0.835 0.284 0.428 0.321   -1.0
0.221 0.751 0.915 0.101   -1.0
0.499 0.989 0.678 0.278   1.0
0.246 0.064 0.361 0.830   -1.0
0.982 0.972 0.504 0.887   1.0
0.625 0.134 0.840 0.132   -1.0
0.238 0.967 0.011 0.666   -1.0
0.099 0.886 0.040 0.015   1.0
0.220 0.514 0.975 0.897   1.0
0.501 0.143 0.857 0.862   -1.0
0.604 0.843 0.946 0.108   1.0
0.193 0.733 0.864 0.032   -1.0
0.591 0.270 0.831 0.602   1.0
0.120 0.701 0.822 0.160   -1.0
0.808 0.380 0.230 0.784   1.0
0.022 0.284 0.420 0.879   -1.0
0.394 0.483 0.989 0.340   1.0
0.720 0.532 0.323 0.585   1.0
0.187 0.176 0.835 0.018   -1.0
0.770 0.138 0.479 0.592   -1.0
0.194 0.400 0.678 0.424   -1.0
0.955 0.446 0.468 0.375   1.0
0.615 0.769 0.808 0.604   1.0
0.398 0.324 0.641 0.721   1.0
0.205 0.908 0.084 0.040   -1.0
0.862 0.810 0.065 0.341   1.0
0.363 0.535 0.802 0.041   1.0
0.986 0.995 0.405 0.455   1.0
0.730 0.069 0.139 0.537   -1.0
